S.No,Company,Job title,Job link,YoE,Match percentage,Matched Keywords count,Matched keywords,Matched locations
1,Apollo,Senior Backend Engineer,https://job-boards.greenhouse.io/apolloio/jobs/4950404004,1,54.23,9,"typescript, go, react, react.js, sql, nosql, mongodb, docker, redis","remote, india"
2,Apollo,Senior Fullstack Engineer (FE-heavy),https://job-boards.greenhouse.io/apolloio/jobs/5736929004,6,54.23,9,"javascript, typescript, go, golang, python, react, react.js, mongodb, docker","remote, india"
3,Apollo,Senior Backend Engineer,https://job-boards.greenhouse.io/apolloio/jobs/5541744004,5,51.54,8,"go, react, aws, sql, nosql, mongodb, docker, redis","remote, india"
4,Apollo,Senior Backend Engineer,https://job-boards.greenhouse.io/apolloio/jobs/5610674004,3,51.54,8,"go, react, aws, sql, nosql, mongodb, docker, redis","remote, india"
5,Atlassian,Senior Full Stack Software Engineer,https://www.atlassian.com/company/careers/details/16443,7,48.85,7,"javascript, go, react, graphql, sql, object-oriented programming, jest","bangalore, remote, india"
6,Atlassian,Senior Software Engineer,https://www.atlassian.com/company/careers/details/23854,6,46.15,6,"go, python, aws, sql, nosql, object-oriented programming","bangalore, remote, india"
7,Atlassian,Senior Backend Software Engineer,https://www.atlassian.com/company/careers/details/16289,6,46.15,6,"go, python, aws, sql, nosql, object-oriented programming","bangalore, remote, india"
8,Atlassian,Senior Software Engineer - Observability,https://www.atlassian.com/company/careers/details/23087,6,43.46,5,"go, golang, python, aws, kafka","bangalore, remote, india"
9,Bold,"Senior Software Engineer- .Net (AWS) Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-net-aws/,5,51.54,8,"javascript, typescript, go, python, react, aws, sql, docker",india
10,Bold,"Senior Software Engineer-Python Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-python-3/,5,51.54,8,"javascript, go, python, kafka, sql, nosql, docker, redis",india
11,Bold,"Senior Software Engineer (Drupal) Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-drupal/,5,46.15,6,"javascript, go, react, graphql, sql, oops",india
12,Bold,"Senior Software Engineer- React and Next.Js Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/senior-software-engineer-react-and-next-js/,5,43.46,5,"typescript, go, next.js, react, jest",india
13,Bold,"Software Engineer/ Senior Software Engineer (PHP) Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/software-engineer-senior-software-engineer-php/,5,43.46,5,"javascript, go, react, sql, oops",india
14,Bold,"Senior Software Engineer- ETL Noida, Uttar Pradesh, India Business Intelligence",https://www.bold.com/job-description/senior-software-engineer-etl-20/,5,40.77,4,"go, python, sql, postgresql",india
15,Bold,"Software Engineer/ Senior Software Engineer- DataScience Noida, Uttar Pradesh, India Data Engineering & Analytics",https://www.bold.com/job-description/software-engineer-senior-software-engineer-datascience-3/,5,40.77,4,"go, python, aws, sql",india
16,Bold,"Software Engineer/ Senior Software Engineer- Data Science (Search and Match) Noida, Uttar Pradesh, India Data Engineering & Analytics",https://www.bold.com/job-description/software-engineer-senior-software-engineer-data-science-search-and-match/,5,40.77,4,"go, python, aws, sql",india
17,Bold,"Senior Software Engineer- Data Analyst Noida, Uttar Pradesh, India Business Intelligence",https://www.bold.com/job-description/senior-software-engineer-data-analyst-2/,4,38.08,3,"go, python, sql",india
18,Bold,"Associate Software Engineer/ Software Engineer/ Senior Software Engineer- Fullstack Noida, Uttar Pradesh, India Engineering & Development",https://www.bold.com/job-description/associate-software-engineer-software-engineer-senior-software-engineer-fullstack-2/,2,38.08,3,"javascript, react, aws",india
